artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
little dragon,are you feeling sad?,0.767,0.646,-8.612,0.0424,0.0616,5.81e-05,0.333,0.462,113.006,3
khruangbin,with all the world,0.393,0.362,-11.86,0.0442,0.0924,0.837,0.068,0.419,85.22,4
connan mockasin,"i'm the man, that will find you",0.447,0.322,-9.868,0.0448,0.623,0.00177,0.0975,0.265,143.667,6
menahan street band,queens highway,0.778,0.399,-8.984,0.0858,0.0751,0.835,0.103,0.321,137.305,4
toro y moi,so many details,0.64,0.665,-10.317,0.0499,0.0433,0.0689,0.137,0.238,143.988,0
hnny,montara,0.772,0.655,-11.531,0.0437,0.258,0.902,0.0753,0.621,91.995,4
neil frances,music sounds better with you,0.935,0.526,-8.256,0.0645,0.275,0.238,0.0673,0.778,118.009,3
emotional oranges,all that (feat. channel tres),0.92,0.724,-6.287,0.164,0.0444,0.0586,0.112,0.864,110.067,3
channel tres,topdown,0.827,0.54,-8.543,0.0925,0.0254,0.164,0.145,0.49,120.055,3
kaytranada,gray area (feat. mick jenkins),0.787,0.809,-8.53,0.171,0.00254,0.0494,0.097,0.339,110.063,3
